대여소번호,시간대,대여가능수량,보관소(대여소)명,설치대수,거치율,geometry,CELL_ID,CELL_X,CELL_Y,GID,LBL,VAL
129,7,26.166666666666668, 신촌역(2호선) 6번출구 옆,20.0,130.83333333333334,POINT (126.93756866 37.55505371),다사50255075,950375,1950875,다사50ab50bb,10619077.6,10619077.6
129,8,24.33333333333333, 신촌역(2호선) 6번출구 옆,20.0,121.66666666666666,POINT (126.93756866 37.55505371),다사50255075,950375,1950875,다사50ab50bb,10619077.6,10619077.6
129,18,27.0, 신촌역(2호선) 6번출구 옆,20.0,135.0,POINT (126.93756866 37.55505371),다사50255075,950375,1950875,다사50ab50bb,10619077.6,10619077.6
129,19,26.83333333333333, 신촌역(2호선) 6번출구 옆,20.0,134.16666666666666,POINT (126.93756866 37.55505371),다사50255075,950375,1950875,다사50ab50bb,10619077.6,10619077.6
130,7,16.166666666666668, 신촌역(2호선) 7번출구 앞,20.0,80.83333333333333,POINT (126.93615723 37.55485916),다사50005075,950125,1950875,다사50aa50bb,19118704.1,19118704.1
130,8,15.666666666666666, 신촌역(2호선) 7번출구 앞,20.0,78.33333333333333,POINT (126.93615723 37.55485916),다사50005075,950125,1950875,다사50aa50bb,19118704.1,19118704.1
130,18,10.833333333333334, 신촌역(2호선) 7번출구 앞,20.0,54.16666666666667,POINT (126.93615723 37.55485916),다사50005075,950125,1950875,다사50aa50bb,19118704.1,19118704.1
130,19,10.666666666666666, 신촌역(2호선) 7번출구 앞,20.0,53.333333333333336,POINT (126.93615723 37.55485916),다사50005075,950125,1950875,다사50aa50bb,19118704.1,19118704.1
131,7,13.5, 증산2교,40.0,33.75,POINT (126.91110229 37.5841713),다사48005400,948125,1954125,다사48aa54aa,3237806.26,3237806.26
131,8,11.666666666666666, 증산2교,40.0,29.166666666666664,POINT (126.91110229 37.5841713),다사48005400,948125,1954125,다사48aa54aa,3237806.26,3237806.26
131,18,12.333333333333334, 증산2교,40.0,30.833333333333336,POINT (126.91110229 37.5841713),다사48005400,948125,1954125,다사48aa54aa,3237806.26,3237806.26
131,19,9.833333333333334, 증산2교,40.0,24.583333333333336,POINT (126.91110229 37.5841713),다사48005400,948125,1954125,다사48aa54aa,3237806.26,3237806.26
133,7,25.33333333333333, 해담는다리,30.0,84.44444444444444,POINT (126.90899658 37.58203125),다사47755375,947875,1953875,다사47bb53bb,3442750.44,3442750.44
133,8,23.0, 해담는다리,30.0,76.66666666666667,POINT (126.90899658 37.58203125),다사47755375,947875,1953875,다사47bb53bb,3442750.44,3442750.44
133,18,25.5, 해담는다리,30.0,85.0,POINT (126.90899658 37.58203125),다사47755375,947875,1953875,다사47bb53bb,3442750.44,3442750.44
133,19,25.33333333333333, 해담는다리,30.0,84.44444444444444,POINT (126.90899658 37.58203125),다사47755375,947875,1953875,다사47bb53bb,3442750.44,3442750.44
134,7,6.166666666666667, 연세로 명물길,16.0,38.54166666666667,POINT (126.93807983 37.55789185),다사50255100,950375,1951125,다사50ab51aa,13929856.16,13929856.16
134,8,7.833333333333333, 연세로 명물길,16.0,48.95833333333333,POINT (126.93807983 37.55789185),다사50255100,950375,1951125,다사50ab51aa,13929856.16,13929856.16
134,18,12.0, 연세로 명물길,16.0,75.0,POINT (126.93807983 37.55789185),다사50255100,950375,1951125,다사50ab51aa,13929856.16,13929856.16
134,19,12.0, 연세로 명물길,16.0,75.0,POINT (126.93807983 37.55789185),다사50255100,950375,1951125,다사50ab51aa,13929856.16,13929856.16
135,7,12.0, 명물길 원형무대 앞,20.0,60.0,POINT (126.93984222 37.55922699),다사50505100,950625,1951125,다사50ba51aa,5901454.99,5901454.99
135,8,12.166666666666666, 명물길 원형무대 앞,20.0,60.83333333333333,POINT (126.93984222 37.55922699),다사50505100,950625,1951125,다사50ba51aa,5901454.99,5901454.99
